번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y)
101,340924.0,충청남도 예산군 덕산면 신평리 191-6번지,충청남도 예산군 덕산면 신평1길 14-13,32406.0,덕원장,169819.377277,354603.861631
102,340804.0,충청남도 예산군 예산읍 예산리 276,충청남도 예산군 예산읍 천변로 202,32438.0,청수탕,186618.010609,353074.740603
103,340924.0,충청남도 예산군 덕산면 신평리 322번지,충청남도 예산군 덕산면 덕산향교길 30-11,32406.0,덕산온천24시불가마,169723.792301,355562.034405
104,321931.0,충청남도 계룡시 엄사면 엄사리 389-2,충청남도 계룡시 엄사면 번영11길 18-16,32815.0,계룡웰빙클럽,220793.723588,309829.039969
105,321931.0,충청남도 계룡시 엄사면 엄사리 182-3 계룡프라자 6층,충청남도 계룡시 엄사면 엄사중앙로 94,32804.0,썬스파,221691.722597,309823.251628
106,321924.0,충청남도 계룡시 신도안면 남선리 1167-15,충청남도 계룡시 신도안면 신도안3길 58,32801.0,계룡복지센터,221797.022593,310815.475736
107,321900.0,충청남도 계룡시 금암동 281-5번지,충청남도 계룡시 금암1길 14 (금암동),32823.0,신통방통 찜질방,222063.459917,308804.156482
108,312804.0,충청남도 금산군 금산읍 신대리 396-1번지,충청남도 금산군 금산읍 인삼광장로 20,32739.0,금산한방스파(주),245158.276823,288877.370213
109,312806.0,충청남도 금산군 금산읍 중도리 32-10번지,충청남도 금산군 금산읍 인삼약초로 29-3,32739.0,인삼웰빙스파,244593.595804,289067.906887
110,320120.0,충청남도 논산시 화지동 125-1,충청남도 논산시 해월로143번길 28 (화지동),32950.0,반도탕,207339.137142,300599.279589
111,320080.0,충청남도 논산시 부창동 269-91번지,충청남도 논산시 강변로308번길 44 (부창동),32957.0,창포찜질방,207027.112598,300179.153331
112,312943.0,충청남도 금산군 추부면 요광리 698번지,충청남도 금산군 추부면 검한1길 156,32710.0,하늘물빛정원,243414.453723,302787.813957
113,320802.0,충청남도 논산시 취암동 1045-8,충청남도 논산시 중앙로422번길 15 (취암동),32974.0,금강사우나,207872.972618,300199.47601
114,320838.0,충청남도 논산시 연무읍 안심리 9-22,충청남도 논산시 연무읍 연무로184번길 15-8,33007.0,유정장목욕탕,208870.822179,292125.206901
115,355930.0,충청남도 보령시 대천동 179-2,충청남도 보령시 원동1길 48 (대천동),33466.0,신정목욕탕,163886.558517,317047.459903
116,355944.0,충청남도 보령시 신흑동 1999번지,충청남도 보령시 해수욕장1길 15 (신흑동),33487.0,스파랜드,156588.017775,311708.653778
117,355937.0,충청남도 보령시 동대동 828-5,충청남도 보령시 중앙로 46 (동대동),,대천스파밸리,163962.500271,316831.8404
118,355930.0,충청남도 보령시 대천동 188-4,충청남도 보령시 원동1길 10-15 (대천동),33465.0,천수향목욕탕,163704.326301,317063.477452
119,355861.0,충청남도 보령시 주산면 금암리 705-29번지,충청남도 보령시 주산면 간재길 12,33517.0,주산목욕탕,167044.318003,299639.669061
120,355944.0,충청남도 보령시 신흑동 1895번지,충청남도 보령시 머드로 34 (신흑동),33488.0,신흑해수목욕탕,156521.957085,312093.860083
121,355814.0,충청남도 보령시 천북면 하만리 146-13번지,충청남도 보령시 천북면 하궁길 1-11,33402.0,천북노인건강복지회관목욕탕,157558.936054,331017.31981
122,355944.0,충청남도 보령시 신흑동 2017번지,충청남도 보령시 해수욕장3길 11-10 (신흑동),33487.0,한화목욕탕,156793.512732,311688.411618
123,,,충청남도 보령시 보령남로 9 (명천동),33471.0,24신세계사우나,164018.981188,315988.870591
124,314050.0,충청남도 공주시 중동 325-1,충청남도 공주시 영명학당2길 6 (중동),32563.0,공주목욕탕,211086.815088,327831.148312
125,314801.0,충청남도 공주시 반죽동 150-19,충청남도 공주시 대통1길 73 (반죽동),32546.0,웅진목욕탕,210896.268996,328263.264799
126,314020.0,충청남도 공주시 웅진동 299-3,충청남도 공주시 고마나루길 51-10 (웅진동),32535.0,금강온천,209549.338517,329145.309228
127,314832.0,충청남도 공주시 계룡면 구왕리 534-2,충청남도 공주시 계룡면 왕흥장악로 228-62,32614.0,천지황찜질방,215515.415047,320475.669995
128,350902.0,충청남도 홍성군 광천읍 광천리 236-7번지,충청남도 홍성군 광천읍 광천로 290,32295.0,광천목욕탕,166400.964217,333280.900396
129,350816.0,충청남도 홍성군 홍성읍 오관리 310-5번지,충청남도 홍성군 홍성읍 충절로1032번길 76,32231.0,선일목욕탕,170177.969377,344440.354818
130,314030.0,충청남도 공주시 산성동 139-1번지,충청남도 공주시 남문길 8 (산성동),32555.0,공주보석사우나,211198.806402,328731.610142
131,355853.0,충청남도 보령시 웅천읍 대창리 715-5,충청남도 보령시 웅천읍 장터중앙길 119,33521.0,한일탕,163951.435538,303623.36198
132,355852.0,충청남도 보령시 웅천읍 독산리 784-1,충청남도 보령시 웅천읍 열린바다1길 78,33509.0,사우나산토리노,157816.838767,304393.84405
133,355931.0,충청남도 보령시 대천동 618-34 시티타워,"충청남도 보령시 원동1길 69 (대천동, 시티타워)",33466.0,새롬사우나,164026.326351,317045.074075
134,350817.0,충청남도 홍성군 홍성읍 오관리 357-1,충청남도 홍성군 홍성읍 충절로1053번길 51,32235.0,사거리공중목욕탕,170129.169989,344088.348478
135,320802.0,충청남도 논산시 취암동 134-2,충청남도 논산시 논산대로351번길 7 (취암동),32979.0,논산25시불가마사우나,208694.077826,299312.522326
136,320821.0,충청남도 논산시 은진면 교촌리 400번지,충청남도 논산시 은진면 탑정로306번길 55,32997.0,일광 소나무 한증막,208399.537433,296485.758387
137,350819.0,충청남도 홍성군 홍성읍 오관리 660-2,충청남도 홍성군 홍성읍 조양로61번길 77,32227.0,홍성불가마,169112.468905,344409.776319
138,350819.0,충청남도 홍성군 홍성읍 오관리 769,충청남도 홍성군 홍성읍 월계천길 149,32224.0,서문목욕탕,169441.586071,344714.014685
139,350819.0,충청남도 홍성군 홍성읍 오관리 660-2번지,충청남도 홍성군 홍성읍 조양로61번길 77,32227.0,홍성불가마찜질방,169112.468905,344409.776319
140,320030.0,충청남도 논산시 내동 342-6번지,충청남도 논산시 시민로 251 (내동),32982.0,뉴파크대중탕,208521.379561,298722.307547
141,314922.0,충청남도 공주시 반포면 마암리 620-1,충청남도 공주시 반포면 도덕골길 18,32620.0,황토성참숯가마찜질방,217480.131636,324865.699718
142,340803.0,충청남도 예산군 예산읍 산성리 841,충청남도 예산군 예산읍 역전로 132,32429.0,성산사우나,184761.154751,354421.509713
143,320833.0,충청남도 논산시 연무읍 동산리 894-5번지,충청남도 논산시 연무읍 연무로 191-5,33008.0,동원탕,208959.13482,292241.172278
144,350906.0,충청남도 홍성군 광천읍 신진리 458-2,충청남도 홍성군 광천읍 홍남로 661-12,32291.0,신진목욕탕,166306.312457,333687.059686
145,350902.0,충청남도 홍성군 광천읍 광천리 176-5,충청남도 홍성군 광천읍 광천로329번길 14,32295.0,청운탕,166315.487348,333609.860399
146,350805.0,충청남도 홍성군 홍성읍 대교리 626번지,충청남도 홍성군 홍성읍 의사로52번길 15-3,32219.0,서울스포렉스찜질방,170657.197908,344642.185523
147,350805.0,충청남도 홍성군 홍성읍 대교리 627,충청남도 홍성군 홍성읍 의사로52번길 15-3,32219.0,서울스포렉스목욕탕,170651.949691,344618.994266
148,314835.0,충청남도 공주시 계룡면 하대리 473-7,충청남도 공주시 계룡면 갑사로 216,32615.0,녹주맥반석찜질방,214046.801158,317925.057249
149,314896.0,충청남도 공주시 유구읍 석남리 357-1,충청남도 공주시 유구읍 중앙1길 59,32506.0,유구탕,195509.768021,338767.878222
150,314813.0,충청남도 공주시 의당면 청룡리 558번지,충청남도 공주시 의당면 연수원길 205,32517.0,청양골햇물건강목욕탕,213175.691115,333036.3667
151,314050.0,충청남도 공주시 중동 17-3번지,충청남도 공주시 성당길 22 (중동),32562.0,우성목욕탕,211411.981852,328324.744172
152,314803.0,충청남도 공주시 신관동 280-29 외 3필지,"충청남도 공주시 신금1길 48 (신관동,외 3필지)",32578.0,삼우사우나,212968.964082,330665.54495
153,314823.0,충청남도 공주시 정안면 인풍리 43-5번지,충청남도 공주시 정안면 차령고개로 250,32511.0,밤골농장황토참숯가마찜질방,211119.821242,349472.042728
154,314802.0,충청남도 공주시 신관동 602-7,충청남도 공주시 번영2로 48-12 (신관동),32584.0,행복목욕탕,212049.849309,330003.696943
155,314924.0,충청남도 공주시 반포면 학봉리 923,충청남도 공주시 반포면 임금봉길 24,32626.0,계룡산온천,222599.233056,318327.272985
156,340803.0,충청남도 예산군 예산읍 산성리 647,충청남도 예산군 예산읍 금오대로 35-14,32428.0,예당24시사우나,184983.602802,354805.270494
157,340924.0,충청남도 예산군 덕산면 신평리 163-1번지,충청남도 예산군 덕산면 신평1길 14,32406.0,가야관광호텔사우나,169769.966587,354736.022599
158,340924.0,충청남도 예산군 덕산면 사동리 361,충청남도 예산군 덕산면 온천단지3로 45-7,32406.0,스플라스리솜,169171.157001,354819.02218
159,340922.0,충청남도 예산군 덕산면 둔리 96-1,충청남도 예산군 덕산면 노곡길 55,32408.0,덕산참숯랜드,168500.767673,352694.063583
160,340802.0,충청남도 예산군 예산읍 주교리 215-6번지,충청남도 예산군 예산읍 주교로 59,32430.0,무한탕,184884.811416,353947.77878
161,312804.0,충청남도 금산군 금산읍 하옥리 361번지,,,금산목욕탕,,
162,312806.0,충청남도 금산군 금산읍 중도리 205-9번지,충청남도 금산군 금산읍 금산로 1542,32725.0,세종목욕탕,244233.467919,290160.197433
163,312941.0,충청남도 금산군 추부면 마전리 429-1번지,충청남도 금산군 추부면 하마전로 48-3,32714.0,만인대중목욕탕,242397.725894,298991.283406
164,312802.0,충청남도 금산군 금산읍 상리 49-17,충청남도 금산군 금산읍 금산로 1531,32726.0,만수피트니스사우나,244136.393554,290076.406345
165,312806.0,충청남도 금산군 금산읍 중도리 229-12,충청남도 금산군 금산읍 후곤천길 97,32735.0,궁전목욕탕,244295.043883,289491.369646
166,312806.0,충청남도 금산군 금산읍 중도리 351번지,충청남도 금산군 금산읍 뒷담말3길 4,32738.0,충남목욕탕,244292.059905,289269.005211
167,312943.0,충청남도 금산군 추부면 요광리 366-8 (주)조은,충청남도 금산군 추부면 추풍로 520,32710.0,조양메디칼(주),244801.428193,301592.643012
168,312806.0,충청남도 금산군 금산읍 중도리 85-3번지,충청남도 금산군 금산읍 비단로 190,32725.0,칠성목욕탕,244682.113913,289425.702055
169,320836.0,"충청남도 논산시 연무읍 황화정리 976번지 967-2,1351-14",충청남도 논산시 연무읍 황화로 369,33013.0,에버그린호텔사우나,208677.962289,289355.840865
170,320822.0,충청남도 논산시 은진면 토양리 78-3번지,충청남도 논산시 은진면 득안대로 928-9,33003.0,연무대24골드사우나찜질방,209224.249702,294355.896989
171,325907.0,충청남도 서천군 장항읍 창선1리 198-1,충청남도 서천군 장항읍 장서로 19,33671.0,삼풍싸우나,172696.934439,278835.04081
172,325802.0,충청남도 서천군 서천읍 군사리 501,,,서천목욕탕,,
173,325813.0,충청남도 서천군 마서면 도삼리 71-1,충청남도 서천군 마서면 장산로855번길 36,33657.0,금강웰빙타운,176064.706124,280041.094034
174,325907.0,충청남도 서천군 장항읍 창선1리 242-5 낙원사우나탕,"충청남도 서천군 장항읍 장항로172번길 4, 낙원사우나탕",33671.0,낙원사우나,172552.52018,278987.473584
175,325844.0,충청남도 서천군 한산면 지현리 176,충청남도 서천군 한산면 충절로1173번길 27,33624.0,호수목욕탕,182316.727138,287213.540606
176,325806.0,충청남도 서천군 서천읍 사곡리 308-2,충청남도 서천군 서천읍 사곡안길 7,33640.0,청림장목욕탕,171659.233565,286816.478063
177,325907.0,충청남도 서천군 장항읍 창선1리 24-31,충청남도 서천군 장항읍 장항로 220-1,33673.0,스마일목욕탕,173004.941006,278862.139957
178,325892.0,충청남도 서천군 서면 신합리 473-49,충청남도 서천군 서면 신월길 5,33602.0,관운장목욕탕,159512.274037,294811.090282
