주차장명,주차장유형,소재지도로명주소,소재지지번주소,위도,경도,제공기관명
유성장로교회앞,노상,"대전광역시 유성구 계룡로16번길 43, (구암동)",대전광역시 유성구 구암동 590-21,36.3545368,127.3313405,대전광역시 유성구
유성고등학교 주변,노상,"대전광역시 유성구 도안대로549번길 60, (구암동)",대전광역시 유성구 구암동 611-31,36.34971868,127.3368407,대전광역시 유성구
성원상떼빌 주변,노상,"대전광역시 유성구 온천서로 36-19, (장대동, 성원상떼빌)",대전광역시 유성구 장대동 376-2,36.35834383,127.3401439,대전광역시 유성구
계룡스파텔 옆,노상,"대전광역시 유성구 온천로 81, (봉명동)",대전광역시 유성구 봉명동 539-1,36.35513271,127.3478811,대전광역시 유성구
청주해장국 앞,노상,"대전광역시 유성구 대학로 23, (봉명동)",대전광역시 유성구 봉명동 535-7,36.35606304,127.341754506,대전광역시 유성구
유성우체국 앞,노상,"대전광역시 유성구 온천로 45, (봉명동)",대전광역시 유성구 봉명동 536-8,36.35581805,127.3430064,대전광역시 유성구
아드리아호텔 앞,노상,"대전광역시 유성구 온천로 27, (봉명동)",대전광역시 유성구 봉명동 442-4,36.35601339,127.340832,대전광역시 유성구
유성호텔 앞,노상,,대전광역시 유성구 봉명동 528,36.35414684,127.3390205,대전광역시 유성구
계룡스파텔 정문앞,노상,"대전광역시 유성구 온천로 81, (봉명동)",대전광역시 유성구 봉명동 539-1,36.35513271,127.3478811,대전광역시 유성구
유성우체국 옆,노상,"대전광역시 유성구 온천로 51, (봉명동)",대전광역시 유성구 봉명동 537-8,36.35565938,127.3436539,대전광역시 유성구
"장명교~경원장, 파라곤모텔앞",노상,"대전광역시 유성구 계룡로87번길 72, (봉명동)",대전광역시 유성구 봉명동 535-2,36.35713713,127.3419591,대전광역시 유성구
상수도사업본부 유성사업소 주변,노상,"대전광역시 유성구 한밭대로492번길 26-14, (봉명동)",대전광역시 유성구 봉명동 665-6,36.3587336,127.3521076,대전광역시 유성구
농촌공사 주변,노상,"대전광역시 유성구 한밭대로313번길 21, (장대동)",대전광역시 유성구 장대동 24-2,36.36615237,127.3359327,대전광역시 유성구
장대동공영주차장주변,노상,"대전광역시 유성구 유성대로729번길 40, (장대동)",대전광역시 유성구 장대동 263-4,36.36000119,127.331851,대전광역시 유성구
학사마을 주변,노상,"대전광역시 유성구 유성대로822번길 16, (장대동)",대전광역시 유성구 장대동 317-3,36.3646569,127.3393000907,대전광역시 유성구
월드컵패밀리타운 주변,노상,"대전광역시 유성구 유성대로783번길 38, (장대동, 월드컵패밀리타운)",대전광역시 유성구 장대동 323-2,36.364521,127.3359131,대전광역시 유성구
장대동 364일원,노상,,대전광역시 유성구 장대동 364,36.35935053,127.3396563,대전광역시 유성구
궁동 457-1일원,노상,"대전광역시 유성구 문화원로37번길 36, (궁동)",대전광역시 유성구 궁동 457-3,36.36189089,127.3410834,대전광역시 유성구
유림공원주차장,노상,,대전광역시 유성구 봉명동 496-1,36.36038048,127.3550022,대전광역시 유성구
유성구청 뒤,노상,"대전광역시 유성구 대학로 211, (어은동)",대전광역시 유성구 어은동 109,36.36258889,127.3567446,대전광역시 유성구
유성구청~어은공원,노상,"대전광역시 유성구 대학로 211, (어은동)",대전광역시 유성구 어은동 109,36.3625913295,127.3567411078,대전광역시 유성구
전민동 458-13일원,노상,"대전광역시 유성구 전민로 26-1, (전민동)",대전광역시 유성구 전민동 458-13,36.3965338208,127.4020579782,대전광역시 유성구
엑스포코아 앞,노상,"대전광역시 유성구 엑스포로 488, (전민동)",대전광역시 유성구 전민동 466-3,36.3999901849,127.4057005887,대전광역시 유성구
도룡동 우성(아)앞,노상,,대전광역시 유성구 도룡동 401-3,36.38653661,127.3537055,대전광역시 유성구
신성동 한울(아)옆,노상,,대전광역시 유성구 신성동 106,36.39007699,127.3500981,대전광역시 유성구
숯골원냉면 주변,노상,"대전광역시 유성구 신성로84번길 18-1, (신성동, 대원빌라)",대전광역시 유성구 신성동 136-4,36.3900622512,127.3500837767,대전광역시 유성구
신성동 첨단주유소~신성삼거리,노상,"대전광역시 유성구 가정로 43, (신성동, 한울아파트)",대전광역시 유성구 신성동 160-1,36.3872836969,127.3468010808,대전광역시 유성구
럭키하나아파트 주변,노상,"대전광역시 유성구 신성남로 27, (신성동)",대전광역시 유성구 신성동 206,36.3864488947,127.3480569275,대전광역시 유성구
신성동애경기술원전면,노상,"대전광역시 유성구 신성남로 120, (신성동)",대전광역시 유성구 신성동 217-2,36.3919595633,127.3523247754,대전광역시 유성구
주막공원~숯골길,노상,,대전광역시 유성구 신성동 466,36.34561602,127.2969923,대전광역시 유성구
도덕봉가든일원,노상,,대전광역시 유성구 덕명동 171-96,36.36348703,127.3171235,대전광역시 유성구
요한이네할인매장 맞은편~유진아이티 맞은편,노상,"대전광역시 유성구 노은서로 6, (노은동)",대전광역시 유성구 노은동 562-9,36.3634901369,127.3171230769,대전광역시 유성구
대전원예농협~대신수산,노상,"대전광역시 유성구 노은동로 8, (노은동)",대전광역시 유성구 노은동 567-3,36.3630025789,127.3188583866,대전광역시 유성구
유성경찰서~죽동 622,노상,"대전광역시 유성구 북유성대로 112, (죽동)",대전광역시 유성구 죽동 629,36.3787828301,127.3254159768,대전광역시 유성구
원내동 중앙장로교회 앞,노상,"대전광역시 유성구 진잠로102번길 75, (원내동, 이화빌라)",대전광역시 유성구 원내동 92-10,36.301119266,127.3197161964,대전광역시 유성구
죽동장애인복지관~북대전세무서,노상,"대전광역시 유성구 북유성대로 166, (죽동)",대전광역시 유성구 죽동 600,36.3814083808,127.3233636789,대전광역시 유성구
수통골 공영주차장 입구 주변,노상,,대전광역시 유성구 계산동 352-8,36.30237214,127.331284,대전광역시 유성구
길산골프연습장 앞,노상,,대전광역시 유성구 원내동 761,36.37955204,127.3259331,대전광역시 유성구
유성경찰서 인근,노상,,대전광역시 유성구 죽동 648,36.38752856,127.3164902,대전광역시 유성구
반석마을 2단지 207동 옆라인,노상,,대전광역시 유성구 지족동 1001,36.35393075,127.3358023,대전광역시 유성구
유성성당 옆,노상,"대전광역시 유성구 계룡로46번길 23, (봉명동)",대전광역시 유성구 봉명동 568-1,36.3539355779,127.3358019994,대전광역시 유성구
온천1동주민센터앞,노상,"대전광역시 유성구 도안대로589번길 35, (봉명동)",대전광역시 유성구 봉명동 451,36.3531160314,127.3389679142,대전광역시 유성구
덕명지구 공영(2),노외,,대전광역시 유성구 구암동 657,36.35861162,127.3093217,대전광역시 유성구
대우이수드림월드아파트 옆,노상,,대전광역시 유성구 장대동 343,36.36747103,127.3172113,대전광역시 유성구
권인순 김치찌개 앞,노상,"대전광역시 유성구 노은서로76번길 77, (노은동)",대전광역시 유성구 노은동 517-3,36.3674744456,127.3172113388,대전광역시 유성구
메가시티주변,노상,"대전광역시 유성구 왕가봉로24번길 15, (노은동)",대전광역시 유성구 노은동 554-3,36.3658601257,127.316549268,대전광역시 유성구
열매마을4단지 앞,노상,"대전광역시 유성구 은구비로 12, (지족동)",대전광역시 유성구 지족동 884-4,36.3757499596,127.3163137458,대전광역시 유성구
관평동1공영,노외,,대전광역시 유성구 관평동 1175,36.42895434,127.3925893,대전광역시 유성구
관평동2공영,노외,,대전광역시 유성구 관평동 734,36.4268593,127.3917692,대전광역시 유성구
관평동3공영,노외,,대전광역시 유성구 관평동 788,36.42507519,127.3900657,대전광역시 유성구
관평동4공영,노외,,대전광역시 유성구 관평동 932,36.42397403,127.3915128,대전광역시 유성구
관평동5공영,노외,,대전광역시 유성구 관평동 1052,36.4220249,127.3963678,대전광역시 유성구
용산동공영,노외,,대전광역시 유성구 용산동 624,36.43576989,127.3859558,대전광역시 유성구
송강동(프라자옆)공영,노외,,대전광역시 유성구 송강동 16-1,36.43442089,127.3865129,대전광역시 유성구
송강동(GS마트앞)공영,노외,"대전광역시 유성구 구즉로58번길 15-12, (송강동)",대전광역시 유성구 송강동 36-2,36.44088504,127.3852017,대전광역시 유성구
봉산동공영,노외,,대전광역시 유성구 봉산동 299,36.38230199,127.3229446,대전광역시 유성구
죽동공영,노외,,대전광역시 유성구 죽동 598,36.39130229,127.3144842,대전광역시 유성구
반석동공영,노외,,대전광역시 유성구 반석동 641,36.38669011,127.3793076,대전광역시 유성구
도룡동공영(上),노외,,대전광역시 유성구 도룡동 385-1,36.38466222,127.3792903,대전광역시 유성구
도룡동공영(下),노외,,대전광역시 유성구 도룡동 395-10,36.39026394,127.349673,대전광역시 유성구
신성동 제1공영,노외,,대전광역시 유성구 신성동 137-2,36.38852014,127.3488626,대전광역시 유성구
신성동 제2공영,노외,,대전광역시 유성구 신성동 211-2,36.35676988,127.3103296,대전광역시 유성구
덕명지구 공영(1),노외,,대전광역시 유성구 덕명동 544,36.36048843,127.3081463,대전광역시 유성구
삼성동 동산교회 앞길(오정철로길),노상,대전광역시 동구 대전로987번길,대전광역시 동구 삼성동 379-1~384-14번지선,,,대전광역시
삼성동 삼성물류센터 주변,노상,대전광역시 동구 현암시장5길,대전광역시 동구 삼성동 395번지 주변,,,대전광역시
삼성동 삼성철교,노상,대전광역시 동구 대전로968,대전광역시 동구 삼성동 솔랑마을@ 뒤,,,대전광역시
삼성동 중부소방서 주변,노상,대전광역시 동구 태전로,대전광역시 동구 태전로137번길(삼성동 322-4),,,대전광역시
"삼성동 한국아파트 주변(현암로18번길, 태전로174번 안길)",노상,"대전광역시 동구 보건소 4,5길","대전광역시 동구 삼성동 373, 382,383번지 주변",,,대전광역시
