index,구,행정동,경도,위도,이름,구분
2445,대덕구,덕암동,127.42452,36.439293,구워더존치킨호프,상권정보
2456,대덕구,덕암동,127.42186,36.437035,돈앤대포,상권정보
2457,대덕구,덕암동,127.42132,36.43406,던바우,상권정보
2463,대덕구,덕암동,127.41857,36.428123,라온하제아이스크림 신탄진휴게소서울방면,상권정보
2465,대덕구,덕암동,127.42502,36.442043,푸라닭 대전신탄진점,상권정보
2466,대덕구,덕암동,127.41857,36.428123,맥스웰하우스신탄진휴게소서울방면 신탄진휴게소서울방면,상권정보
2467,대덕구,덕암동,127.41987,36.423065,흥부자백반,상권정보
2468,대덕구,덕암동,127.424866,36.44272,서울생고기식당,상권정보
2470,대덕구,덕암동,127.42418,36.43436,교동짬뽕신탄진점 신탄진점,상권정보
2471,대덕구,덕암동,127.423355,36.44501,청담골,상권정보
2474,대덕구,덕암동,127.424675,36.44272,뜰에식당,상권정보
2477,대덕구,덕암동,127.42132,36.43406,카페 던바우,상권정보
2487,대덕구,덕암동,127.42155,36.44676,덕암동쭈꾸미,상권정보
2491,대덕구,덕암동,127.42274,36.43236,이경란흑돼지,상권정보
2504,대덕구,덕암동,127.4211,36.445946,모노코크커피,상권정보
2512,대덕구,덕암동,127.42352,36.42678,우리집밥상,상권정보
2514,대덕구,덕암동,127.42028,36.424637,장수촌,상권정보
2516,대덕구,덕암동,127.42414,36.442753,가온누리,상권정보
2517,대덕구,덕암동,127.42097,36.43504,카페로제타 로제타,상권정보
2518,대덕구,덕암동,127.42426,36.44133,우렁골식당,상권정보
2522,대덕구,덕암동,127.42427,36.440536,선비꼬마김밥,상권정보
2525,대덕구,덕암동,127.4214,36.42993,길갈비빔국수 신탄점,상권정보
2527,대덕구,덕암동,127.423874,36.441437,한스오븐,상권정보
2528,대덕구,덕암동,127.42449,36.440914,착한감자탕 덕암점,상권정보
2530,대덕구,덕암동,127.425674,36.44366,김밥나라식당,상권정보
2532,대덕구,덕암동,127.41926,36.425495,처갓집양념치킨대전충청체인본부 대전충청체인본부,상권정보
2537,대덕구,덕암동,127.424706,36.443367,유성농산농업법인,상권정보
2539,대덕구,덕암동,127.42572,36.43709,커피머신,상권정보
2542,대덕구,덕암동,127.42418,36.43436,일품교동짬뽕,상권정보
2546,대덕구,덕암동,127.42277,36.436546,오가네보리촌,상권정보
2548,대덕구,덕암동,127.42277,36.436546,홍희통닭,상권정보
2551,대덕구,덕암동,127.421814,36.434902,덕암골,상권정보
2552,대덕구,덕암동,127.42887,36.436123,크루엘라,상권정보
2553,대덕구,덕암동,127.41857,36.428123,신탄진휴게소기사식당,상권정보
2557,대덕구,덕암동,127.425224,36.442696,성심족발,상권정보
2558,대덕구,덕암동,127.42146,36.436478,애드립,상권정보
2559,대덕구,덕암동,127.41857,36.428123,신탄진휴게소커피매장,상권정보
2567,대덕구,덕암동,127.42049,36.428406,영순이보쌈콩국수,상권정보
2575,대덕구,덕암동,127.42571,36.438065,소연이네커피공방,상권정보
2580,대덕구,덕암동,127.42412,36.44092,얼큰이칼국수면삶는아줌마,상권정보
2581,대덕구,덕암동,127.42293,36.434364,휘만두,상권정보
2584,대덕구,덕암동,127.42461,36.442123,마스마스,상권정보
2585,대덕구,덕암동,127.42497,36.44373,디에떼에스프레소 덕암점,상권정보
2587,대덕구,덕암동,127.41945,36.42776,오리나라식당,상권정보
2588,대덕구,덕암동,127.422226,36.43018,짬뽕지존,상권정보
2600,대덕구,덕암동,127.42443,36.443844,테르메,상권정보
2603,대덕구,덕암동,127.421295,36.447056,양평칼국수,상권정보
2606,대덕구,덕암동,127.42002,36.447754,진성아구찜,상권정보
2607,대덕구,덕암동,127.423584,36.433414,배불뚜기,상권정보
2610,대덕구,덕암동,127.4234,36.44036,샌드위트,상권정보
2611,대덕구,덕암동,127.42617,36.43686,한마음정육식당 신탄진점,상권정보
2615,대덕구,덕암동,127.421135,36.434906,류화고추닭갈비닭불고기부대찌개,상권정보
2619,대덕구,덕암동,127.42155,36.44676,카페 미래안사주,상권정보
2622,대덕구,덕암동,127.41857,36.428123,카페드롭탑 신탄진휴게소점,상권정보
2626,대덕구,덕암동,127.4223,36.445168,원조설악추어탕식당,상권정보
2627,대덕구,덕암동,127.4243,36.44186,이가짬뽕,상권정보
2629,대덕구,덕암동,127.42795,36.442276,큰손쌈밥집,상권정보
2634,대덕구,덕암동,127.42361,36.43983,북경,상권정보
2639,대덕구,덕암동,127.42338,36.437008,전원식당,상권정보
2640,대덕구,덕암동,127.42422,36.440426,오감만족 신탄진점,상권정보
2643,대덕구,덕암동,127.42165,36.436268,오리조아식당,상권정보
2646,대덕구,덕암동,127.42436,36.440113,다울아띠김셰프의찜닭이야기,상권정보
2648,대덕구,덕암동,127.42547,36.4432,카페디아떼,상권정보
2649,대덕구,덕암동,127.42239,36.43281,한성전통짜장식당,상권정보
2650,대덕구,덕암동,127.42299,36.43716,꽐라앤골뱅이,상권정보
2657,대덕구,덕암동,127.424675,36.44272,태능숯불갈비식당,상권정보
2661,대덕구,덕암동,127.424774,36.439827,송촌명가,상권정보
2662,대덕구,덕암동,127.42517,36.44261,밥이랑술이랑,상권정보
2664,대덕구,덕암동,127.4242,36.44342,만다린,상권정보
2670,대덕구,덕암동,127.42598,36.44305,커피보카,상권정보
2671,대덕구,덕암동,127.424,36.444374,덕암골식당,상권정보
2673,대덕구,덕암동,127.41951,36.429462,민영가든,상권정보
2674,대덕구,덕암동,127.42795,36.442276,큰손식당,상권정보
2682,대덕구,덕암동,127.42313,36.44525,종가집김치보쌈한양본가안동찜닭족발,상권정보
2685,대덕구,덕암동,127.42207,36.43602,커피이야기,상권정보
2690,대덕구,덕암동,127.42473,36.44363,굴세상 신탄진점,상권정보
2691,대덕구,덕암동,127.42276,36.44535,승오다방,상권정보
2694,대덕구,덕암동,127.41857,36.428123,신탄진상휴게소딜라이트커피코너,상권정보
2696,대덕구,덕암동,127.42663,36.439636,송해한정식,상권정보
2698,대덕구,덕암동,127.42356,36.439705,로제타커피랩,상권정보
2699,대덕구,덕암동,127.424644,36.43669,오삼사다시일,상권정보
2700,대덕구,덕암동,127.42583,36.439156,큰손순대막국수,상권정보
2702,대덕구,덕암동,127.42723,36.443146,주문진양푼이동태찌개식당,상권정보
2704,대덕구,덕암동,127.41857,36.428123,신탄진상휴게소드롭탑커피코너,상권정보
2708,대덕구,덕암동,127.423584,36.44448,김가네 금강엑슬루지점,상권정보
2709,대덕구,덕암동,127.421425,36.435555,회초리식당,상권정보
2713,대덕구,덕암동,127.41964,36.425816,선바위골식당,상권정보
2719,대덕구,덕암동,127.424355,36.440735,달빛부엌,상권정보
2734,대덕구,덕암동,127.4221,36.434498,소문난김밥,상권정보
2735,대덕구,덕암동,127.425674,36.44366,김밥나라 덕암점,상권정보
2736,대덕구,덕암동,127.41857,36.428123,신탄진상휴게소한식매장,상권정보
2738,대덕구,덕암동,127.41857,36.428123,신탄진휴게소매장내부우측충무김밥,상권정보
2742,대덕구,덕암동,127.4243,36.44186,우래원,상권정보
2743,대덕구,덕암동,127.42361,36.43983,짜장일번지,상권정보
2744,대덕구,덕암동,127.4236,36.427013,전주식당,상권정보
2745,대덕구,덕암동,127.42386,36.444374,명가족찜,상권정보
2746,대덕구,덕암동,127.42449,36.439213,우진식당,상권정보
2750,대덕구,덕암동,127.42356,36.439705,커플식당,상권정보
2754,대덕구,덕암동,127.42272,36.43305,목화식당,상권정보
2758,대덕구,덕암동,127.425545,36.439606,김가네 대전지사,상권정보
2761,대덕구,덕암동,127.42113,36.435555,굼터식당,상권정보
2768,대덕구,덕암동,127.42178,36.43307,새일반점,상권정보
2769,대덕구,덕암동,127.424866,36.44272,신탄서울생고기식당,상권정보
2770,대덕구,덕암동,127.42749,36.442867,연화식당,상권정보
2775,대덕구,덕암동,127.4236,36.427013,평촌각,상권정보
2776,대덕구,덕암동,127.43571,36.432163,장충동왕족발,상권정보
2781,대덕구,덕암동,127.42007,36.43252,영심이분식식당,상권정보
2783,대덕구,덕암동,127.423325,36.426723,짜장나라,상권정보
2785,대덕구,덕암동,127.42455,36.439392,송안식당,상권정보
2786,대덕구,덕암동,127.42116,36.435654,맥주하우스콩,상권정보
2791,대덕구,덕암동,127.42426,36.44133,보고또보고,상권정보
2792,대덕구,덕암동,127.423065,36.43851,말자싸롱,상권정보
2793,대덕구,덕암동,127.42393,36.4395,또래오래 신탄진점,상권정보
2805,대덕구,덕암동,127.421524,36.446842,BHC치킨 신탄진점,상권정보
2823,대덕구,덕암동,127.424675,36.44272,태능삼겹살식당,상권정보
2824,대덕구,덕암동,127.42097,36.43504,엄마카페,상권정보
2830,대덕구,덕암동,127.424866,36.44272,서울정육점생고기식당,상권정보
2832,대덕구,덕암동,127.422775,36.42346,에코베네,상권정보
2855,대덕구,덕암동,127.42165,36.43706,우가네닭볶음탕,상권정보
2856,대덕구,덕암동,127.41951,36.429462,선바위골식당,상권정보
2859,대덕구,덕암동,127.41964,36.425816,예산소머리곰탕,상권정보
2876,대덕구,덕암동,127.42363,36.44411,수목어식당,상권정보
2877,대덕구,덕암동,127.421585,36.436775,미강손짜장,상권정보
2883,대덕구,덕암동,127.41857,36.428123,신탄진상휴게소탐앤탐스커피코너,상권정보
2885,대덕구,덕암동,127.42404,36.421673,일광식당,상권정보
2894,대덕구,덕암동,127.4244,36.442772,까페인,상권정보
2895,대덕구,덕암동,127.42764,36.430874,대경식당,상권정보
2904,대덕구,덕암동,127.42373,36.43645,거북식당,상권정보
2912,대덕구,덕암동,127.43231,36.437725,비지푸드,상권정보
2918,대덕구,덕암동,127.42129,36.436005,돈돼지,상권정보
2920,대덕구,덕암동,127.42393,36.4395,김밥세상,상권정보
2923,대덕구,덕암동,127.425644,36.428303,명일식당,상권정보
2924,대덕구,덕암동,127.421585,36.436775,손짜장일번지식당,상권정보
2926,대덕구,덕암동,127.421585,36.436775,보우보우,상권정보
2932,대덕구,덕암동,127.42166,36.438602,뜰애식당,상권정보
2936,대덕구,덕암동,127.42568,36.439598,공주손칼국수,상권정보
2948,대덕구,덕암동,127.426476,36.440456,투터돼지,상권정보
2950,대덕구,덕암동,127.42207,36.43602,산마루식당,상권정보
2957,대덕구,덕암동,127.434525,36.43716,호수식당,상권정보
2982,대덕구,덕암동,127.42502,36.442043,푸라닭치킨 대전신탄진점,상권정보
2987,대덕구,덕암동,127.41857,36.428123,카페 드롭탑신탄진휴게소점,상권정보
2990,대덕구,덕암동,127.42351,36.433277,함경남도밀면,상권정보
2991,대덕구,덕암동,127.42165,36.436268,정성가,상권정보
2993,대덕구,덕암동,127.42426,36.44133,배떡 신탄진점,상권정보
2994,대덕구,덕암동,127.420845,36.434708,지니카페,상권정보
2995,대덕구,덕암동,127.42271,36.436222,소먹는날,상권정보
2996,대덕구,덕암동,127.421135,36.434906,준짬뽕,상권정보
3008,대덕구,덕암동,127.42497,36.44373,우리할매떡볶이 덕암점,상권정보
3012,대덕구,덕암동,127.424904,36.440754,쌍둥이팔도국밥,상권정보
3015,대덕구,덕암동,127.423065,36.43851,얼음왕국아이스크림할인점대전대덕22 1호점,상권정보
3022,대덕구,덕암동,127.42165,36.436268,한끼요기,상권정보
3023,대덕구,덕암동,127.4244,36.442772,돈돈푸드,상권정보
3030,대덕구,덕암동,127.42097,36.43504,랑이꼬마김밥,상권정보
3036,대덕구,덕암동,127.427,36.440052,덕암동복지만두레,상권정보
