index,요양기관명,종별코드명,시군구코드명,동,주소,우편번호,x좌표,y좌표
1162,한솔의원,의원,대전동구,판암동,대전광역시 동구 옥천로180번길 18 2층 (판암동),34676,127.4605921,36.3165359
1163,한스소아청소년과의원,의원,대전중구,유천동,"대전광역시 중구 평촌로 58 3층 (유천동, 동양클리닉)",34887,127.3934565,36.3212053
1164,한양내과의원,의원,대전서구,도마동,대전광역시 서구 계백로 1440 3층 (도마동),35402,127.3811345,36.3133029
1165,한양의원,의원,대전서구,탄방동,"대전광역시 서구 문정로 134 2,5,6층 (탄방동)",35255,127.3942421,36.3464746
1166,한우리의원,의원,대전대덕구,비래동,"대전광역시 대덕구 비래동로15번길 2 2층 (비래동, 대아코아비동)",34417,127.449761,36.3556604
1167,한이비인후과의원,의원,대전유성구,지족동,대전광역시 유성구 은구비로 36 (지족동),34086,127.3189963,36.3756029
1168,한찬수마취통증의학과의원,의원,대전서구,둔산동,대전광역시 서구 둔산로 121 4층 (둔산동),35240,127.3874166,36.351539
1169,한화생명대전부속의원,의원,대전서구,둔산동,대전광역시 서구 둔산북로 56 (둔산동),35233,127.380819,36.3554416
1170,해든의원,의원,대전대덕구,대화동,대전광역시 대덕구 동심1길 26 2층 (대화동),34374,127.4161941,36.3629481
1171,해맑은이비인후과의원,의원,대전대덕구,석봉동,대전광역시 대덕구 대덕대로 1590 2층 (석봉동),34317,127.4245009,36.4501247
1172,해맑은정신건강의학과의원,의원,대전서구,둔산동,대전광역시 서구 대덕대로 182 4층 (둔산동),35234,127.3776488,36.3492885
1173,해켓신경외과의원,의원,대전동구,정동,대전광역시 동구 대전로 822 2층 (정동),34626,127.4322114,36.3327349
1174,해통성준의원,의원,대전대덕구,석봉동,대전광역시 대덕구 석봉로37번길 65 2층 (석봉동),34318,127.4259087,36.4503011
1175,햇살이비인후과의원,의원,대전중구,중촌동,대전광역시 중구 목중로 50 중촌동제일프라자 4층 406호 (중촌동),34812,127.4096161,36.3378398
1176,행림내과의원,의원,대전서구,변동,대전광역시 서구 도산로 197 2층 (변동),35321,127.3791566,36.3260025
1177,행복이가득한내과의원,의원,대전중구,목동,"대전광역시 중구 동서대로 1388 상가 201호 (목동, 금호한사랑아파트)",34849,127.4129933,36.3316265
1178,행복한내과의원,의원,대전동구,가오동,대전광역시 동구 은어송로 33 (가오동),34692,127.4535128,36.3049545
1179,행복한이비인후과의원,의원,대전대덕구,비래동,대전광역시 대덕구 비래동로 20 4층 (비래동),34418,127.4502398,36.3556123
1180,행복한정형외과의원,의원,대전서구,도마동,"대전광역시 서구 도산로 45 4층 402호 (도마동, 엔젤크리닉)",35401,127.3803034,36.3126705
1181,현대가정의원,의원,대전동구,홍도동,대전광역시 동구 홍도로 19-1 (홍도동),34554,127.4294455,36.3480597
1182,현대가정의원,의원,대전중구,유천동,"대전광역시 중구 계백로 1619 306호 (유천동, 벽산프라자)",34899,127.3997468,36.319306
1183,현대가정의학과의원,의원,대전유성구,신성동,대전광역시 유성구 신성남로 41 4층 (신성동),34117,127.3499959,36.3868181
1184,현대내과의원,의원,대전서구,도마동,"대전광역시 서구 계백로 1426 203호 (도마동, 써머스빌)",35400,127.3796828,36.3125381
1185,현대비뇨기과의원,의원,대전중구,산성동,대전광역시 중구 대둔산로 397 401호 (산성동),34989,127.3860234,36.3049476
1186,현대소아청소년과의원,의원,대전서구,관저동,"대전광역시 서구 관저로 84 202호 (관저동, 구봉마을아파트8단지상가)",35373,127.3314031,36.2979174
1187,현대우리들의원,의원,대전유성구,장대동,대전광역시 유성구 문화원로 14 2층 201호 (장대동),34171,127.3377255,36.3613741
1188,현대의원,의원,대전서구,내동,대전광역시 서구 도산로 237 (내동),35315,127.3814968,36.3291896
1189,현대의원,의원,대전대덕구,읍내동,"대전광역시 대덕구 계족로761번길 24 207호 (읍내동, 현대상가)",34354,127.4262737,36.37898
1190,현대의원,의원,대전유성구,대정동,대전광역시 유성구 대정로28번안길 83 (대정동),34219,127.3210875,36.3134318
1191,현대의원,의원,대전동구,원동,대전광역시 동구 대전로 771 중앙프라자 3층 301호 (원동),34630,127.433797,36.3284833
1192,현대이비인후과의원,의원,대전중구,은행동,대전광역시 중구 중앙로 159 3층 (은행동),34832,127.4271868,36.3294423
1193,현대정형외과의원,의원,대전동구,가양동,대전광역시 동구 우암로 229 (가양동),34587,127.441799,36.343824
1194,현대중앙의원,의원,대전중구,산성동,대전광역시 중구 대둔산로 363 2층 (산성동),35080,127.3858535,36.3017665
1195,현대진단검사의학과의원,의원,대전유성구,궁동,대전광역시 유성구 농대로 31 (궁동),34138,127.3528079,36.3633476
1196,현이비인후과의원,의원,대전대덕구,송촌동,"대전광역시 대덕구 송촌북로16번길 57 401호 (송촌동, 선비큐랜드)",34408,127.4392513,36.3652151
1197,혜민의원,의원,대전동구,낭월동,대전광역시 동구 산내로 1360 (낭월동),34702,127.4660509,36.284489
1198,혜인통증의학과의원,의원,대전서구,관저동,대전광역시 서구 관저로 164 4층 (관저동),35382,127.3399952,36.298735
